expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
M	M-PBS	MI1	MI	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-PBS	MI2	MI	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-CONTROL4	MI3	MI	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-CONTROL4	MI4	MI	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-ACTIVE5	MJ1	MJ	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE5	MJ2	MJ	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE6	MJ3	MJ	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-ACTIVE6	MJ4	MJ	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
G	G-OSU-ZH3	GA1	GA	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-OSU-ZH3	GA2	GA	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-OSU-ZH3	GA3	GA	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-OSU-ZH3	GB1	GB	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-OSU-ZH3	GB2	GB	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-OSU-ZH3	GB3	GB	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-OSU-ZH3	GB4	GB	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-OSU-ZH3	GB5	GB	OSU	no treatment	NA	NA	OSU	#E66101	1	5
G	G-22L-ZH3	GC1	GC	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-22L-ZH3	GC2	GC	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-22L-ZH3	GC3	GC	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-22L-ZH3	GC4	GC	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-22L-ZH3	GD1	GD	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-22L-ZH3	GD2	GD	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-22L-ZH3	GD3	GD	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-22L-ZH3	GD4	GD	22L	no treatment	NA	NA	22L	#E66101	1	2
G	G-RML-ZH3	GE1	GE	RML	no treatment	NA	NA	RML	#E66101	1	1
G	G-RML-ZH3	GE2	GE	RML	no treatment	NA	NA	RML	#E66101	1	1
G	G-RML-ZH3	GF1	GF	RML	no treatment	NA	NA	RML	#E66101	1	1
G	G-RML-ZH3	GF2	GF	RML	no treatment	NA	NA	RML	#E66101	1	1
