cage	dpi	edry	nslt	comb
TAC	184	1.5	2	1.75
TAE	184	0.5	1	0.75
TAG	184	1.5	2	1.75
TAI	184	1.5	2	1.75
TI	191	2	2	2
TK	191	2	2	2
TM	191	2	2	2
TO	191	2	2	2
TQ	191	0	0	0
TY	191	2	2	2
TAA	191	2	2	2
TAC	191	2	2	2
TAE	191	1.5	2	1.75
TAG	191	2	2	2
TAI	191	2	2	2
TI	198	2	2	2
TK	198	2	2	2
TM	198	0.5	1	0.75
TO	198	2	2	2
TY	198	2	2	2
TAA	198	1.5	2	1.75
TAC	198	2	2	2
TAE	198	0.5	1	0.75
TAG	198	0.5	0.5	0.5
TAI	198	1.5	2	1.75
TI	205	2	2	2
TK	205	2	2	2
TM	205	1.5	2	1.75
TO	205	2	2	2
TY	205	2	2	2
TAA	205	2	2	2
TAC	205	2	2	2
TAE	205	1	2	1.5
TAG	205	1.5	1.5	1.5
TAI	205	2	2	2
TI	212	2	2	2
TK	212	2	2	2
TM	212	1	1.5	1.25
TO	212	1.5	2	1.75
TY	212	0.5	1	0.75
TAA	212	1.5	1.5	1.5
TAC	212	1.5	2	1.75
TAE	212	0.5	0.5	0.5
TAG	212	0	0.5	0.25
TAI	212	1	2	1.5
TI	219	2	2	2
TK	219	2	2	2
TM	219	2	2	2
TO	219	2	2	2
TY	219	2	2	2
TAA	219	2	2	2
TAC	219	2	2	2
TAE	219	1	1	1
TAG	219	0	0.5	0.25
TAI	219	1.5	2	1.75
TI	226	2	2	2
TK	226	1.5	2	1.75
TM	226	1.5	2	1.75
TO	226	1.5	2	1.75
TY	226	1.5	2	1.75
TAA	226	1	2	1.5
TAC	226	0	0.5	0.25
TAE	226	0	0	0
TAG	226	0	0	0
TAI	226	1.5	2	1.75
TI	233	2	2	2
TK	233	2	2	2
TM	233	2	2	2
TO	233	2	2	2
TY	233	2	2	2
TAA	233	2	2	2
TAC	233	1	1.5	1.25
TAE	233	0.5	0.5	0.5
TAG	233	1	1	1
TAI	233	1.5	2	1.75
TI	240	2	2	2
TK	240	2	2	2
TM	240	1.5	2	1.75
TO	240	2	2	2
TY	240	1.5	2	1.75
TAA	240	0.5	2	1.25
TAC	240	0	2	1
TAE	240	0.5	0	0.25
TAG	240	0	1	0.5
TAI	240	2	2	2
TI	247	2	2	2
TK	247	2	2	2
TM	247	2	2	2
TO	247	2	2	2
TY	247	2	2	2
TAA	247	2	2	2
TAC	247	1	1	1
TAE	247	0.5	0	0.25
TAG	247	0.5	1	0.75
TAI	247	2	2	2
TI	254	2	2	2
TK	254	1	1	1
TM	254	1	2	1.5
TO	254	1.5	2	1.75
TY	254	1.5	2	1.75
TAA	254	0	1	0.5
TAC	254	0	0	0
TAE	254	0	0	0
TAG	254	0	0	0
TAI	254	1.5	1.5	1.5
TI	261	2	2	2
TK	261	2	1.5	1.75
TM	261	1.5	2	1.75
TO	261	2	2	2
TY	261	1.5	2	1.75
TAA	261	0.5	1	0.75
TAC	261	0	0	0
TAE	261	0.5	1	0.75
TAG	261	0	0	0
TAI	261	1.5	1.5	1.5
TI	275	2	2	2
TK	275	1.5	1.5	1.5
TM	275	0.5	1	0.75
TO	275	1.5	1.5	1.5
TY	275	1.5	2	1.75
TAA	275	0.5	0.5	0.5
TAC	275	0	0.5	0.25
TAE	275	1.5	1.5	1.5
TAG	275	0.5	1	0.75
TAI	275	1.5	1.5	1.5
TI	282	0	0.5	0.25
TK	282	0	0	0
TM	282	0	0	0
TO	282	1	0.5	0.75
TY	282	0	0	0
TAA	282	0.5	0.5	0.5
TAC	282	0	0.5	0.25
TAE	282	0	0	0
TAG	282	0	0	0
TAI	282	0	1	0.5
TI	289	1.5	1.5	1.5
TK	289	0.5	0.5	0.5
TM	289	0.5	0.5	0.5
TO	289	1	1	1
TY	289	0.5	0.5	0.5
TAA	289	0.5	1	0.75
TAC	289	0.5	0.5	0.5
TAE	289	1	0.5	0.75
TAG	289	0.5	1	0.75
TAI	289	0.5	1	0.75
TI	296	0	1	0.5
TK	296	0.5	0.5	0.5
TM	296	0.5	0.5	0.5
TO	296	1.5	1.5	1.5
TY	296	0	1	0.5
TAA	296	0	0.5	0.25
