animal	dpi	event
K3	-13	icv1
K3	75	icv2
K4	-13	icv1
K4	75	icv2
L1	-13	icv1
L1	76	icv2
L2	-13	icv1
L2	76	icv2
L3	-13	icv1
L4	-13	icv1
L4	76	icv2
LA1	120	icv1
LA2	120	icv1
LA3	120	icv1
LA4	120	icv1
LB1	120	icv1
LB2	120	icv1
LB3	120	icv1
LB4	120	icv1
LC1	120	icv1
LC2	120	icv1
LC3	120	icv1
LC4	120	icv1
LD1	120	icv1
LD2	120	icv1
LD3	120	icv1
LD4	120	icv1
LE1	120	icv1
LE2	120	icv1
LE3	121	icv1
LE4	121	icv1
LF1	121	icv1
LF2	121	icv1
LF3	121	icv1
LF4	121	icv1
LG1	121	icv1
LG2	121	icv1
LG3	121	icv1
LG4	121	icv1
LH1	121	icv1
LH2	121	icv1
LH3	121	icv1
LH4	121	icv1
LI1	121	icv1
LI2	121	icv1
LI3	121	icv1
LI4	121	icv1
LJ1	121	icv1
LJ2	121	icv1
LJ3	121	icv1
LJ4	121	icv1
LK1	121	icv1
LK2	121	icv1
LK3	122	icv1
LK4	122	icv1
LL1	122	icv1
LL2	122	icv1
LL3	122	icv1
LL4	122	icv1
PA1	119	icv1
PA2	119	icv1
PA3	119	icv1
PA4	119	icv1
PC1	120	icv1
PC2	120	icv1
PC3	120	icv1
PC4	120	icv1
PD1	120	icv1
PD2	120	icv1
PD3	120	icv1
PD4	120	icv1
PE1	119	icv1
PE2	119	icv1
PE3	119	icv1
PE4	119	icv1
PG1	119	icv1
PG2	119	icv1
PG3	120	icv1
PG4	120	icv1
PH1	120	icv1
PH2	120	icv1
PH3	119	icv1
PH4	119	icv1
PI1	119	icv1
PI2	119	icv1
PI3	119	icv1
PI4	119	icv1
PJ1	120	icv1
PJ2	120	icv1
PJ3	120	icv1
PJ4	120	icv1
PK1	120	icv1
PK2	120	icv1
PK3	120	icv1
PK4	120	icv1
PL1	119	icv1
PL2	119	icv1
PL3	119	icv1
PL4	119	icv1
